content,question,answer
"Barbecue-Crashing Mosquitoes Beware: New Weapons Are in the Works  Picture this: It’s evening. The summer’s heat is waning and you’re getting ready to bite into a freshly grilled hot dog, but a lurking predator is close by and about to make a meal of you—a blood meal, that is. You put down the hot dog and swat wildly at the winged attacker before it lands.  Jan Suszkiw, Public Affairs Specialist, Agricultural Research Service  Posted in  Research and Science  Sep 01,   2 Responses",What are some potential new technologies being developed by agricultural research agencies to combat pests like mosquitoes?,"one potential new technology being developed is ""new weapons"" to combat mosquitoes."
"Visit the Federal Trade Commission's Identity Theft Website This FTC website to help you deter, detect, and defend against identity theft. You can learn how to avoid theft, or learn what to do if your identity is stolen. Farm Loans FSA makes direct and guaranteed farm ownership and operating loans to family-size farmers and ranchers who cannot obtain commercial credit from a bank, Farm Credit System institution, or other lender. FSA loans can be used to purchase land, livestock, equipment, feed, seed, and supplies. Loans can also be used to construct buildings or make farm improvements. Housing Assistance USDA provides homeownership opportunities to low- and moderate-income rural Americans through several loan, grant, and loan guarantee programs. The programs also make funding available to individuals to finance vital improvements necessary to make their homes decent, safe, and sanitary. USDA Multi-Family Housing Programs offer Rural Rental Housing Loans to provide affordable multi-family rental housing for very low-, low-, and moderate-income families; the elderly; and persons with disabilities. In addition, rental assistance is available to eligible families. Rural Development Loan and Grant Assistance USDA Rural Development forges partnerships with rural communities, funding projects that bring housing, community facilities, business guarantees, utilities and other services to rural America. USDA provides technical assistance and financial backing for rural businesses and cooperatives to create quality jobs in rural areas. Rural Development promotes the President's National Energy Policy and ultimately the nation's energy security by engaging the entrepreneurial spirit of rural America in the development of renewable energy and energy efficiency improvements. Rural Development works with low-income individuals, State, local and Indian tribal governments, as well as private and nonprofit organizations and user-owned cooperatives. Beginning Farmers and Ranchers USDA, through the Farm Service Agency, provides direct and guaranteed loans to beginning farmers and ranchers who are unable to obtain financing from commercial credit sources. Each fiscal year, the Agency targets a portion of its direct and guaranteed farm ownership (FO) and operating loan (OL) funds to beginning farmers and ranchers. Livestock Insurance USDA helps producers manage their business risks. The mission of USDA's Risk Management Agency (RMA) is to promote, support, and regulate sound risk management solutions to preserve and strengthen the economic stability of America's agricultural producers. As part of this mission, RMA operates and manages the Federal Crop Insurance Corporation (FCIC). RMA has three divisions: Insurance Services, Product Management, and Risk Compliance. Seventeen private-sector insurance companies sell and service the policies. RMA develops and/or approves the premium rate, administers premium and expense subsidies, approves and supports products, and reinsures the companies. RMA also sponsors educational and outreach programs and seminars on the general topic of risk. Federal State Marketing Improvement Program This matching grant program, also known as FSMIP, provides matching funds to State Departments of Agriculture and other appropriate State agencies to assist in exploring new market opportunities for food and agricultural products, and to encourage research and innovation aimed at improving the efficiency and performance of the marketing system. Specialty Crop Block Grant Program The SCBGP funds can be requested to enhance the competitiveness of specialty crops. Specialty crops are defined as fruits and vegetables, tree nuts, dried fruits, and nursery crops (including floriculture). The Farmers Market Promotion Program The FMPP was created through a recent amendment of the Farmer-to-Consumer Direct Marketing Act of . The grants, authorized by the FMPP, are targeted to help improve and expand domestic farmers markets, roadside stands, community-supported agriculture programs and other direct producer-to-consumer market opportunities. Organic Cost Share Program AMS administers two organic certification cost share programs. Each program provides cost share assistance, through participating States, to organic producers and/or organic handlers. Recipients must receive initial certification or continuation of certification from a USDA accredited certifying agent (ACA).","What type of loans does FSA make available to farmers and ranchers who cannot obtain commercial credit, and how can these funds be used?","FSA makes direct and guaranteed farm ownership and operating loans to family-size farmers and ranchers. These loans can be used to purchase land, livestock, equipment, feed, seed, supplies, construct buildings, or make farm improvements."
"Shawnee National Forest, U.S. Forest Service in  Forestry  Jan 31,  The Shawnee National Forest will offer a new school program this year called Naturalist in the Classroom. Youngsters will have an opportunity to enjoy the Shawnee National Forest, like the kids here at the Young Trekkers afterschool program. Photo used with permission. With declining budgets in the public school system, there has been a steady decrease in school fieldtrips in recent years. This plight further widens the disconnect between children and nature. To help bridge the gap between the schoolroom and the natural world, the Shawnee National Forest will offer a new school program this year called Naturalist in the Classroom.  The program will be piloted to third- through fifth-grade students in Union and Alexander counties located in southern Illinois, and will focus on two themes – forest ecology and wetland ecology. Forest Service employees will visit the classroom several times during the semester to cover topics, such as the role of water, the function of wetlands, forest functions, and tree identification, or subjects identified by the teacher.  Naturalist in the Classroom will culminate in a one-day field trip at a Forest Service site with Forest Service natural resource and conservation education professionals to show students how what they learned applies in the field and in national forest management. There will be hands-on activities and games from various national curriculums, such as Project Learning Tree, Project Aquatic Wild and WOW! Wonders of Wetlands will be used. Naturalist in the Classroom aims to strengthen and expand the Shawnee’s environmental education program, get kids outdoors, and assist local educators in meeting Illinois’ learning standards.  Schools benefitting from the program are located in areas with high unemployment and have some of the highest underserved populations in southern Illinois. “We are really excited about implementing this new program in local schools,” said Allen Nicholas, forest supervisor at Shawnee National Forest.  “There are so many barriers to getting children in the outdoors these days.  We hope the Naturalist in the Classroom project will be the bridge in getting kids into the outdoors, as well as connecting them to the expertise of our natural resource professionals.” The spring application deadline is Feb. 5; the fall application deadline is Sept. 5. The Shawnee National Forest will offer a new school program this year called Naturalist in the Classroom. Youngsters will have an opportunity to enjoy the Shawnee National Forest, like the kids here at the Young Trekkers afterschool program. Photo used with permission.  Category/Topic:  Forestry  Tags:  classroom  Conservation  ecology  Forestry  FS  Illinois  kids  natural resources  Shawnee National Forest",What initiative has been launched by the Shawnee National Forest to connect students from underserved populations with nature and promote environmental education in southern Illinois?,The Naturalist in the Classroom program.
"Director of Sustainability Development, USDA in  Conservation  Dec 15,  Researchers at USDA Agricultural Research Service help reduce food waste by developing new ways to extend food shelf life and by creating new food products, biobased plastics, and animal feed from food waste. USDA photo by Stephen Ausmus. Less than 2 years ago, the USDA and the U.S. Environmental Protection Agency (EPA) launched the U.S. Food Waste Challenge, with the goal of reducing food waste in the United States.  We set an ambitious goal of having at least 400 businesses, schools, and/or organizations join the challenge by letting us know what they are doing to reduce food waste in their operations.  USDA also committed to finding ways in which its 33 agencies and offices could help reduce food waste through policy, partnerships, and research. As of today, we have surpassed our membership goal by signing up 1,313 participants in the U.S. Food Waste Challenge. The number and diversity of participants joining the challenge are indicative of a growing movement to reduce food waste that is spreading across the country. Founding members, Rio Farms, Unilever, General Mills, and the Food Waste Reduction Alliance have been joined by members from across the food supply chain.  Hannaford, a supermarket chain in the Northeast, recently joined the U.S. Food Waste Challenge and shared the many ways in which it keeps food from ending up in landfills.  Using the “food recovery hierarchy,” Hannaford tries to reduce food waste at the source by having fresh products delivered on a daily basis instead of 3-4 times per week.  Daily deliveries lead to more accurate ordering, less food waste, and improvements in quality.  Safeway, another supermarket chain participating in the U.S. Food Waste Challenge, donates the wholesome, edible food that goes unsold in their stores to feed hungry people.  In , Safeway recovered and donated 72 million pounds of food to hunger relief organizations. Other participants in our challenge like K-12 schools, universities, and sports teams are also involved in food recovery and donation activities.  With the help of organizations like Campus Kitchens and Food Recovery Network, over 120 colleges and universities have started food recovery efforts in their dining facilities to donate wholesome unsold food to local food pantries.  Sports teams like the Milwaukee Brewers and movie studios like NBC Universal have also signed up for the challenge because of their work with Rock and Wrap It Up!, an organization that recovers and donates unsold food at sporting events and movie shoots. Moving down the food recovery hierarchy, some participants in our challenge keep food from landfills by converting it to livestock feed.  Four Minnesota schools in the Chisago Lakes School District have their food waste picked up by Barthold Pig Farm, where it is then heated and fed to pigs. The 72 McDonalds’ in Hawaii now sell their used cooking oil to Pacific Biodiesel, where it is then recycled into fuel. Not to be outdone by all of our U.S. Food Waste Challenge participants, the USDA also delivered on reducing food waste through our policies, partnerships, and research.  USDA Economic Research Service (ERS) continues to study and provide estimates on how much food goes uneaten at the retail and consumer level.  The estimated pounds, monetary value, and calories of food loss that USDA ERS helps policymakers, the food industry, and nonprofits better explain the food waste issue to the public, make recommendations, and set targeted goals. Through the Agricultural Research Service (ARS), the USDA is researching and developing new products that help 1) reduce food spoilage; 2) reuse waste from food processing to produce new value-added products; and 3) recycle food waste into livestock feed or biobased products such as biodegradable plastics. ARS, for example, helped Gorge Delight, a grower-owned business, develop a 100% fruit bar that uses blemished or damaged apples and pears from their orchards that would have otherwise been discarded.  Not only does ARS’s work help reduce food waste, but it also creates new economic opportunities in rural areas. For consumers and families, USDA Food Safety and Inspection Service (FSIS) has updated the “Ask Karen” website, which is visited over 10 million times a year, to answer people’s questions on how to safely handle, prepare, and store food.  FSIS, which is responsible for ensuring that the nation’s commercial supply of meat, poultry, and egg products is safe and correctly labeled, recently streamlined procedures for donating wholesome misbranded meat and poultry products.  In April , as a result of this directive, FSIS was involved in the donation of approximately 84,310 pounds of misbranded pork sausage.  The misbranded product was donated to the Westmoreland County Food Bank and Greater Pittsburgh Community Food Bank. Finally, here at USDA headquarters in Washington, D.C., the cafeteria, which serves up to 3,000 people a day, has found some innovative ways to reduce food waste.  The dining service company, IL Creations, holds “Happy Hour” from 2:30 pm – 3:00 pm, at which food is sold at a 30% discount to reduce the amount of unsold leftovers.  For people with eyes bigger than their stomachs, USDA has promoted composting and made it easy for employees by placing composting bins all over the building.   In , USDA headquarters composted about 2,650 pounds of food waste per week.  This represents about a 10% increase from , which is double our original goal of a 5% increase. The goal we had for launching the U.S. Food Waste Challenge was to help inspire organizations and individuals across the food supply chain to start reducing, recovering, and recycling food waste in their day-to-day operations.  What we didn’t expect was how much your energy, passion, and support would push us to do more.  Indeed there is so much more work to be done to reduce food waste in America, and we want to continue working on this issue for years to come. USDA FSIS recently changed on donation of mislabeled meat and poultry products. In April , this new directive led to 84,310 pounds of misbranded pork sausage being donated to local food pantries instead of being dumped into a landfill.   Category/Topic:  Conservation  Tags:  ARS  Ask Karen  Compost  EPA  ERS  food loss  food recovery  Food Safety  Food Waste  FSIS  Hawaii  Minnesota  restaurants  supermarkets  U.S. Food Waste Challenge  Washington DC","What innovative strategies has the USDA and its participants in the U.S. Food Waste Challenge implemented to reduce food waste, including recycling food waste into livestock feed or biobased products?","* Converting food waste into livestock feed (e.g., four Minnesota schools in the Chisago Lakes School District heat their food waste to feed pigs) * Recycling used cooking oil from McDonald's in Hawaii into biodiesel * Developing new products that reuse waste from food processing (e.g., Gorge Delight's 100% fruit bar made with blemished apples and pears) * Composting food waste at USDA headquarters in Washington, D.C. (composting about 2,650 pounds of food waste per week)"
"Organic 101: The Lifecycle of Organic Food Production   This is the fifth installment of the Organic 101 series that explores different aspects of the USDA organic regulations. Through defined farming practices, organic principles promote ecological balance, foster the cycling of resources, and conserve biodiversity. To understand what that means when it comes to the label on your food, those principles require some more explanation. Let’s take a closer look at a snapshot of sustainable food production, using the lifecycle of organic cheddar to get a fuller picture.  Miles McEvoy, National Organic Program Deputy Administrator  Posted in  Food and Nutrition  Apr 26,   14 Responses",What specific benefits do the USDA organic regulations promote through the defined farming practices of organic cheddar production?,"The USDA organic regulations promote ecological balance, foster resource cycling, and conserve biodiversity through the defined farming practices of organic cheddar production."
"FoodShare Columbia: Another Great Way to Increase Access to Healthy, Affordable Foods with SNAP  March is National Nutrition Month. Throughout the month, USDA will be highlighting results of our efforts to improve access to safe, healthy food for all Americans and supporting the health of our next generation.  FoodShare Columbia is a program designed to help alleviate the stress families face when they live in “food deserts.” The program, in cooperation with the University of South Carolina and other partners, assembles produce food boxes to distribute to low-income individuals. It just got started in April and has already distributed more than 3,000 food boxes in a community with a high rate of diabetes-related health conditions. More than half of these food boxes have been purchased by SNAP recipients using their SNAP EBT cards. The program is proving highly successful and is revolutionizing the way the community addresses food insecurity.  MSW, Director of Policy and Partnership Development, University of South Carolina Center for Research in Nutrition and Health Disparities & Beverly Wilson, MPH, Director of FoodShare Columbia, University of South Carolina School of Medicine One week, a woman brought $20 worth of coins; another week, a man traveled on two bus lines with an empty suitcase. They came to get a box of quality fruits and vegetables from a city parks and recreation community center in Columbia, S.C.  Jalil Isa, Bilingual Press Officer, Food and Nutrition Service  Posted in  Food and Nutrition  Mar 30,   1 Response","How does FoodShare Columbia's innovative approach to addressing food insecurity among low-income individuals, particularly SNAP recipients, contribute to improving access to healthy foods in food desert communities?","FoodShare Columbia's innovative approach addresses food insecurity among low-income individuals, particularly SNAP recipients, by assembling produce food boxes and distributing them through community centers, making fresh fruits and vegetables more accessible and affordable in food desert communities."
"With USDA Support, A Health Center in Alaska’s Susitna Valley Celebrates a Grand Opening   On a beautiful, bright Sunday in August, members of the Alaska  USDA-Rural Development team met with the leadership of the new Sunshine Community Health Center and other funders to celebrate the grand opening of the new healthcare facility in Willow.  They were joined by members of the surrounding communities which this new clinic will serve, including Willow, Houston and Skwentna, Alaska. The old healthcare building of some 1,400 square feet had grown outdated in both accommodations for staff and residents needing medical services.  The work space to provide private exams and perform much needed medical procedures was too small and no longer met the required protocols. “The new building is a 6,800 square foot facility that houses six new exam rooms, allowing the clinic to expand and supply necessary healthcare expertise and services to the residents of the surrounding service area.  It will provide many new jobs ranging from entry-level support personnel to professional and bring higher levels of medical services,” said Rural Development Alaska State Director Jim Nordlund.  Larry Yerich, USDA-Rural Development – Alaska – Public Information Coordinator  Posted in  Initiatives  Rural  Aug 20, 2012  Respond to this story","What was the primary goal and benefit of the new Sunshine Community Health Center grand opening in Willow, Alaska, as supported by USDA-Rural Development funding?","The primary goal and benefit of the new Sunshine Community Health Center grand opening in Willow, Alaska, as supported by USDA-Rural Development funding, was to provide expanded healthcare services and expertise to residents through a larger facility with modern accommodations for staff and patients."
"Apps for Healthy Kids “Game Jams” Coming to a City Near You  Cross-posted from the White House OSTP Blog by Robynn Sturm  acampbell  Posted in  Food and Nutrition  May 11,   Respond to this story","What is the purpose of ""Apps for Healthy Kids Game Jams""?","The purpose of ""Apps for Healthy Kids Game Jams"" is to encourage innovation in developing mobile apps that promote healthy eating and active lifestyles among children."
"Agricultural Youth Opportunities: A Journey to Future Career Success  From ages nine to 99, the opportunities available in agriculture are endless – and ageless. As student leaders of the National FFA Organization, there are few people who know that better than our fellow 650,000+ members and us. In a few years, we’ll fill some of the most challenging and critically important jobs that keep America fed, fueled, clothed and competitive.  the -18 National FFA Officer Team  Posted in  Farming  Technology  Mar 20,   2 Responses","What opportunities exist in agriculture for individuals of all ages, from young students to those in their 90s?","Agriculture offers endless and ageless opportunities for individuals of all ages, from children as young as nine to seniors over ninety."
"USDA Food Waste Challenge Team in  Food and Nutrition  Nov 24,  On average, these polts will take 4 to 5 months to make weight. It takes a lot of natural resources, energy, labor, and love to raise the estimated 46 million turkeys that will be consumed this Thanksgiving. Show your appreciation by making sure you waste as little food as possible. Photo courtesy of USDA. Thanksgiving is a time to appreciate all that is good in our lives and to spend it in the company of friends and family while enjoying great food.  It is also a time to reflect on the bounty of our food supply.  Each year, as I put away the leftovers from my Thanksgiving dinner, I marvel at the abundance. I also can’t avoid pausing to consider how much food is wasted in this country. USDA estimates that on average, American consumers waste about one-fifth of food that is available to them, equivalent to about $371 per person annually.  That’s enough money to buy about 21 whole turkeys for each person in the country. Wouldn’t it be great if we could make reducing food waste one of our Thanksgiving traditions?  A tradition we practice throughout the year? Reducing food waste starts with meal planning. Before you start shopping, take stock of what you have in your refrigerator and cupboards so that you don’t end up tossing extras.  A friend of mine uses an “Eat Me First” bin, so that the most perishable items are not lost at the back of the refrigerator. On Thanksgiving, using up the food currently in your refrigerator is particularly important to clear room for all of those Thanksgiving ingredients and post-Thanksgiving leftovers.  Careful menu planning and portion control helps to minimize waste.  When buying a turkey, USDA recommends allowing for one pound of turkey per person. Thanksgiving leftovers can be substantial, particularly when the gatherings are large.  Take time to make sure leftovers are refrigerated within two hours from when they are hot and have guests leave with something tasty to take home and eat later.  Leftovers can be delicious and the reason for gathering once more with friends and family. Many of my friends host Leftover Parties the day after Thanksgiving, which can sometimes spark debate among the partygoers as to whose pecan pie was better.  “The Friday after Thanksgiving is like a de facto National Leftovers Day – it’s the one day of the year where almost everyone enjoys leftovers,” says Jonathan Bloom, a food-waste author and blogger.  Of course, if you don’t have time to party with leftovers, you can simply store them.  Leftovers can be kept in the refrigerator for three to four days or safely frozen for up to a year. Thanksgiving is the perfect time to begin food waste reduction strategies in your household that can gradually become habit for every day of the year.  No one wants to throw delicious Thanksgiving food into the trash or compost bin, but shouldn’t we treat all food that we eat with the same amount of respect year-round? So here’s a toast to a Happy and Food Waste Free Thanksgiving.  Category/Topic:  Food and Nutrition  Tags:  Food Waste  freezing  Jonathan Bloom  leftovers  OCE  refrigerating  Thanksgiving  turkey  U.S. Food Waste Challenge","What can individuals do on average to reduce food waste, especially around Thanksgiving when large amounts of leftovers are produced?","Individuals can reduce food waste by practicing meal planning, careful menu planning and portion control, using up perishable items in their refrigerator before shopping for new ingredients, storing leftovers safely (in the fridge for 3-4 days or frozen for up to a year), and hosting ""Leftover Parties"" to enjoy Thanksgiving food beyond the initial holiday."
